"N";"Posizione X";"Posizione Y";"PRENOTABILE"
"0";"4,57";"7,67";""
"0";"4,57";"8,56";""
"0";"12,34";"7,66";""
"0";"5,00";"8,28";""
"0";"6,12";"7,84";""
"0";"6,12";"8,73";""
"0";"10,14";"7,66";""
"0";"10,14";"8,11";""
"0";"9,02";"7,66";""
"0";"12,34";"8,55";""
"0";"11,25";"8,11";""
"0";"11,25";"8,55";""
"0";"5,00";"7,84";""
"0";"8,29";"5,61";""
"0";"6,47";"5,61";""
"0";"2,54";"5,61";""
"0";"7,59";"5,61";""
"0";"7,17";"5,61";""
"0";"6,06";"5,79";""
"0";"3,49";"8,28";""
"0";"3,88";"7,84";""
"0";"3,88";"8,28";""
"0";"2,19";"5,17";""
"0";"2,19";"6,06";""
"0";"3,49";"7,84";""
"0";"1,71";"5,85";""
"0";"0,81";"6,48";""
"0";"1,13";"6,17";""
"0";"7,38";"7,80";""
"0";"11,06";"5,09";""
"0";"1,38";"5,85";""
"0";"13,80";"8,04";""
"0";"14,13";"8,61";""
"0";"14,57";"8,61";""
"0";"0,86";"6,04";""
"0";"1,22";"6,98";""
"0";"0,95";"6,84";""
"0";"6,71";"8,24";""
"0";"5,69";"8,55";""
"0";"12,73";"8,11";""
"0";"11,65";"8,11";""
"0";"9,02";"8,11";""
"0";"7,93";"8,11";""
"0";"5,69";"7,66";""
"0";"8,33";"8,56";""
"0";"10,56";"7,66";""
"0";"10,56";"8,11";""
"0";"9,45";"8,11";""
"0";"9,45";"8,56";""
"0";"8,33";"8,11";""
"1";"13,93";"7,52";""
"10";"10,56";"8,55";""
"11";"9,45";"7,67";""
"12";"10,14";"8,55";""
"13";"8,33";"7,67";""
"14";"9,02";"8,55";""
"15";"7,93";"7,66";""
"16";"7,93";"8,55";""
"17";"8,29";"5,12";"Y"
"18";"8,29";"6,09";""
"19";"7,59";"5,12";"Y"
"2";"13,46";"8,61";""
"20";"7,59";"6,09";""
"21";"7,17";"5,12";"Y"
"22";"7,17";"6,09";""
"23";"6,47";"5,12";"Y"
"24";"6,47";"6,09";""
"25";"6,06";"5,30";"Y"
"26";"6,06";"6,27";""
"27";"7,38";"8,24";""
"28";"6,71";"7,80";""
"29";"6,12";"7,39";""
"3";"15,24";"8,61";""
"30";"6,12";"8,28";""
"31";"5,00";"7,39";""
"32";"5,69";"8,11";""
"33";"5,00";"8,73";""
"34";"4,57";"8,12";""
"35";"3,88";"7,39";""
"36";"3,88";"8,73";""
"37";"3,49";"7,39";""
"38";"3,49";"8,73";""
"39";"2,54";"5,17";""
"4";"12,73";"7,66";""
"40";"2,19";"5,61";""
"41";"2,54";"6,06";""
"42";"0,88";"7,28";""
"43";"1,54";"5,43";""
"44";"11,06";"5,76";""
"45";"11,77";"5,53";""
"5";"12,73";"8,55";""
"6";"12,34";"8,11";""
"7";"11,65";"7,66";""
"8";"11,65";"8,55";""
"9";"11,25";"7,66";""
